,Annualized Return,Annualized Volatility,Sharpe Ratio,Cumulative Return,Max Drawdown
Pairs Trading,0.008958597189220933,0.04370122900688709,0.20499645874510997,0.19044129024863704,-0.08703420433091369
Buy and Hold,0.07107657751980334,0.16698740891407834,0.4256403400832159,1.5163003204224714,-0.33666659568521196
DCA,0.027112852734450632,0.16696277948036803,0.16238860432746113,0.348499474524846,-0.33984887708641254
