Date,Close,MA,Position,BH_Equity,MA_Equity,DCA_Equity
2005-01-03,44.87777328491211,,0.0,10000.0,10000.0,10000.0
2005-01-04,43.64536666870117,,0.0,9725.385970380737,10000.0,9998.931462919769
2005-01-05,42.678016662597656,,0.0,9509.833830580446,10000.0,9998.09273864039
2005-01-06,42.238067626953125,,0.0,9411.801106708106,10000.0,9997.71128835295
2005-01-07,42.06135559082031,,0.0,9372.424813456892,10000.0,9997.55807320411
2005-01-10,42.678016662597656,,0.0,9509.833830580445,10000.0,9998.09273864039
2005-01-11,42.41386413574219,,0.0,9450.973395331472,10000.0,9997.86370970946
2005-01-12,41.3581657409668,,0.0,9215.734808944138,10000.0,9996.9483844706
2005-01-13,41.181453704833984,,0.0,9176.358515692928,10000.0,9996.795169321762
2005-01-14,41.3581657409668,,0.0,9215.734808944138,10000.0,9996.9483844706
2005-01-17,43.02961349487305,,0.0,9588.179257846463,10000.0,9998.397584660881
2005-01-18,43.205413818359375,,0.0,9627.352396489112,10000.0,9998.55000932486
2005-01-19,41.973915100097656,,0.0,9352.94067145913,10000.0,9997.482259422019
2005-01-20,42.238067626953125,,0.0,9411.801106708102,10000.0,9997.71128835295
2005-01-21,41.79811477661133,,0.0,9313.767532816479,10000.0,9997.32983475804
2005-01-24,41.3581657409668,,0.0,9215.734808944138,10000.0,9996.9483844706
2005-01-25,41.88555908203125,,0.0,9333.252524833522,10000.0,9997.4056518476
2005-01-26,43.29376983642578,,0.0,9647.040543114717,10000.0,9998.626616899279
2005-01-27,43.46956634521485,,0.0,9686.212831738087,10000.0,9998.779038255789
2005-01-28,43.99787139892578,42.53701515197754,0.0,9803.933702236032,10000.0,9999.23709611765
2005-01-31,45.7576789855957,42.58101043701172,0.0,10196.067147783244,10000.0,10000.762907189817
2005-02-01,46.19762802124024,42.70862350463867,0.0,10294.099871655584,10000.0,10001.144357477257
2005-02-02,47.07753372192383,42.92859935760498,0.0,10490.16701943883,10000.0,10002.648375788329
2005-02-03,47.07753372192383,43.170572662353514,0.0,10490.16701943883,10000.0,10002.648375788329
2005-02-04,47.07753372192383,43.42138156890869,0.0,10490.16701943883,10000.0,10002.648375788329
2005-02-07,47.07753372192383,43.641357421875,0.0,10490.16701943883,10000.0,10002.648375788329
2005-02-08,47.07753372192383,43.87454090118408,0.0,10490.16701943883,10000.0,10002.648375788329
2005-02-09,47.07753372192383,44.160509300231936,0.0,10490.16701943883,10000.0,10002.648375788329
2005-02-10,47.07753372192383,44.45531330108643,0.0,10490.16701943883,10000.0,10002.648375788329
2005-02-11,47.07753372192383,44.74128170013428,0.0,10490.16701943883,10000.0,10002.648375788329
2005-02-14,47.95743560791016,44.98767280578613,0.0,10686.233317202796,10000.0,10004.152387578959
2005-02-15,48.39738464355469,45.247271347045896,0.0,10784.266041075134,10000.0,10004.904390214051
2005-02-16,47.95743560791016,45.546447372436525,0.0,10686.233317202796,10000.0,10004.152387578959
2005-02-17,47.07753372192383,45.78842067718506,0.0,10490.16701943883,10000.0,10002.648375788329
2005-02-18,47.51748275756836,46.07438907623291,0.0,10588.19974331117,10000.0,10003.400378423423
2005-02-21,47.95743560791016,46.40435256958008,0.0,10686.233317202796,10000.0,10004.152387578959
2005-02-22,47.51748275756836,46.68594875335693,0.0,10588.19974331117,10000.0,10003.400378423423
2005-02-23,47.07753372192383,46.87513694763184,0.0,10490.16701943883,10000.0,10002.648375788329
2005-02-24,46.63758087158203,47.03353767395019,0.0,10392.133445547204,10000.0,10001.896366632793
2005-02-25,48.39738464355469,47.25351333618164,1.0,10784.266041075134,10000.0,10004.904390214051
2005-02-28,48.39738464355469,47.38549861907959,1.0,10784.266041075134,10000.0,10004.904390214051
2005-03-01,47.78163528442383,47.46469898223877,1.0,10647.060178560143,9872.77218311158,10003.851892985718
2005-03-02,47.605838775634766,47.49111423492432,1.0,10607.887889936776,9836.44862759638,10003.408246750992
2005-03-03,47.07753372192383,47.49111423492432,0.0,10490.16701943883,9727.288792286707,10002.074997589903
2005-03-04,46.19762802124024,47.44711894989014,0.0,10294.099871655584,9727.288792286707,9999.854436705555
2005-03-07,46.4617805480957,47.41633129119873,0.0,10352.960306904555,9727.288792286707,10000.5210612861
2005-03-08,47.25333023071289,47.42512111663818,0.0,10529.339308062195,9727.288792286707,10002.51864382463
2005-03-09,46.63758087158203,47.403123474121095,0.0,10392.133445547204,9727.288792286707,10000.964717147728
2005-03-10,45.7576789855957,47.33713073730469,0.0,10196.06714778324,9727.288792286707,9998.744165890284
2005-03-11,46.19762802124024,47.293135452270505,0.0,10294.099871655582,9727.288792286707,9999.854436705555
2005-03-14,45.31772613525391,47.161149978637695,0.0,10098.033573891618,9727.288792286707,9997.63388544811
2005-03-15,44.96521759033203,46.989541625976564,0.0,10019.484992017038,9727.288792286707,9996.744282521746
2005-03-16,45.7576789855957,46.87955379486084,0.0,10196.06714778324,9727.288792286707,9998.744165890284
2005-03-17,44.78942108154297,46.7651481628418,0.0,9980.31270339367,9727.288792286707,9996.30063628702
2005-03-18,44.78942108154297,46.62874507904053,0.0,9980.31270339367,9727.288792286707,9996.30063628702
2005-03-21,44.5252685546875,46.457136726379396,0.0,9921.452268144696,9727.288792286707,9995.634011706476
2005-03-22,44.43782424926758,46.30315380096435,0.0,9901.96727612765,9727.288792286707,9995.413334190664
2005-03-23,44.26202392578125,46.16237831115723,0.0,9862.794137485,9727.288792286707,9994.969678329035
2005-03-24,44.5252685546875,46.0567626953125,0.0,9921.452268144694,9727.288792286707,9995.634011706476
