,Annualized Return,Annualized Volatility,Sharpe Ratio,Cumulative Return,Max Drawdown
Pairs Trading,-0.0013334549630319437,0.0516784598967391,-0.025802916063992154,-0.027972042590523438,-0.10713960165621927
Buy and Hold,0.058579965701259784,0.16697366809762287,0.35083355578563685,2.369274634431251,-0.4224711788892257
DCA,0.027512799184937764,0.317897640359437,0.9937567386171533,0.3563319363849482,-0.3279523610225267
